Database_id,Quality_grade,Scientific_name,latitude,longitude,Country_name,Database_origin,url,Author_notes
74461419,research,Saproamanita thiersii,29.87907612,-82.49739545,USA,iNaturalist,https://www.inaturalist.org/observations/74461419,"Looks like Amanita, but no ring and small cap, so questionable"
66194246,research,Saproamanita thiersii,29.87952996,-95.0313835,USA,iNaturalist,https://www.inaturalist.org/observations/66194246,
17178526,research,Saproamanita thiersii,30.61321167,-96.33021667,USA,iNaturalist,https://www.inaturalist.org/observations/17178526,
52657263,research,Saproamanita thiersii,30.72722816,-91.88200378,USA,iNaturalist,https://www.inaturalist.org/observations/52657263,
18868920,research,Saproamanita thiersii,30.838425,-97.304475,USA,iNaturalist,https://www.inaturalist.org/observations/18868920,
59724778,research,Saproamanita thiersii,32.33106019,-96.65583027,USA,iNaturalist,https://www.inaturalist.org/observations/59724778,
16660750,research,Saproamanita thiersii,32.34022794,-96.64058056,USA,iNaturalist,https://www.inaturalist.org/observations/16660750,
17087796,research,Saproamanita thiersii,32.383263,-94.857224,USA,iNaturalist,https://www.inaturalist.org/observations/17087796,
436685,research,Saproamanita thiersii,32.49462637,-94.82897401,USA,iNaturalist,http://www.inaturalist.org/observations/436685,"Fishy, bad odor, looks right to me"
58993895,research,Saproamanita thiersii,32.49822516,-97.41013801,USA,iNaturalist,https://www.inaturalist.org/observations/58993895,
7683614,research,Saproamanita thiersii,32.54386902,-97.41226959,USA,iNaturalist,https://www.inaturalist.org/observations/7683614,
33569079,research,Saproamanita thiersii,32.59749267,-94.63406937,USA,iNaturalist,https://www.inaturalist.org/observations/33569079,
60224154,research,Saproamanita thiersii,32.78085412,-96.79553972,USA,iNaturalist,https://www.inaturalist.org/observations/60224154,
16914083,research,Saproamanita thiersii,32.82913589,-97.46219635,USA,iNaturalist,https://www.inaturalist.org/observations/16914083,
58877119,research,Saproamanita thiersii,32.84774673,-95.99571228,USA,iNaturalist,https://www.inaturalist.org/observations/58877119,
58519764,research,Saproamanita thiersii,32.99276389,-95.94511667,USA,iNaturalist,https://www.inaturalist.org/observations/58519764,
7694646,research,Saproamanita thiersii,33.03299822,-97.0733387,USA,iNaturalist,https://www.inaturalist.org/observations/7694646,
58925329,research,Saproamanita thiersii,33.05321724,-97.03456397,USA,iNaturalist,https://www.inaturalist.org/observations/58925329,
59820652,research,Saproamanita thiersii,33.100625,-97.19307,USA,iNaturalist,https://www.inaturalist.org/observations/59820652,
119730069,research,Saproamanita thiersii,33.16278815,-97.02787694,USA,iNaturalist,https://www.inaturalist.org/observations/119730069,
17087649,research,Saproamanita thiersii,33.2448241,-97.15168015,USA,iNaturalist,https://www.inaturalist.org/observations/17087649,
18267726,research,Saproamanita thiersii,33.2512872,-97.15011295,USA,iNaturalist,https://www.inaturalist.org/observations/18267726,
57767070,research,Saproamanita thiersii,33.78477486,-84.4271418,USA,iNaturalist,https://www.inaturalist.org/observations/57767070,
55390834,research,Saproamanita thiersii,33.85559464,-98.56697845,USA,iNaturalist,https://www.inaturalist.org/observations/55390834,
59878656,research,Saproamanita thiersii,34.04806818,-94.72861172,USA,iNaturalist,https://www.inaturalist.org/observations/59878656,
32133439,research,Saproamanita thiersii,35.68719167,-97.51863,USA,iNaturalist,https://www.inaturalist.org/observations/32133439,
16535127,research,Saproamanita thiersii,35.92760855,-89.29889655,USA,iNaturalist,https://www.inaturalist.org/observations/16535127,
55342436,research,Saproamanita thiersii,36.16646117,-86.750045,USA,iNaturalist,https://www.inaturalist.org/observations/55342436,
33649342,research,Saproamanita thiersii,36.74520207,-95.9882125,USA,iNaturalist,https://www.inaturalist.org/observations/33649342,
32008956,research,Saproamanita thiersii,36.74988513,-95.96480195,USA,iNaturalist,https://www.inaturalist.org/observations/32008956,
31618895,research,Saproamanita thiersii,36.8650222,-97.00964298,USA,iNaturalist,https://www.inaturalist.org/observations/31618895,
